"name","teamId","status","addedToSolution","failure"
"QFU Branch 4171","d6753e16-dc43-f111-bec7-7c1e52062b6f","found","False",""
"QFU Branch 4172","d9753e16-dc43-f111-bec7-7c1e52062b6f","found","False",""
"QFU Branch 4173","dca9721c-dc43-f111-bec7-7c1e52062b6f","found","False",""
